	FIMM.ID	DRUG.NAME	Mechanism.Targets	Putative.Target.Protein	Class.explained	High.phase.Approval.status	Res_code	Alias	Activity.modifier	Active_inactive.in.clinic	Solvent	High.conc.(nM)	InChI	ChEMBL.ID	Drug_class
FIMM000227...Dexamethasone	FIMM000227	Dexamethasone	Glucocorticoid, immunomodulatory agent	NR3C1	D.Immunomodulatory	Approved	NA	NA	NA	NA	DMSO	10000	UREBDLICKHMUKA-CXSFZGCWSA-N	CHEMBL1200637,CHEMBL384467,CHEMBL1201302	Immunomodulatory
FIMM000239...Auranofin	FIMM000239	Auranofin	Antirheumatic agent	PRDX5;IKBKB	A.Conv.Chemo	Approved	NA	NA	NA	NA	DMSO	2500	AUJRCFUBUPVWSZ-XTZHGVARSA-M	CHEMBL1366	Conv.Chemo
FIMM000249...Tretinoin	FIMM000249	Tretinoin	Retinoic acid receptor agonist	RARA;RARB;RXRA;RXRB;RXRG	E.Differentiating.epigenetic modifier	Approved	NA	ATRA, retinoic acid, vitamin A	NA	NA	DMSO	10000	SHGAZHPCJJPHSC-YCNIQYBTSA-N	CHEMBL38,CHEMBL2051965	Differentiating.epigenetic modifier
FIMM000255...Simvastatin	FIMM000255	Simvastatin	HMG CoA reductase inhibitor	HMGCR	H.Metabolic modifier	Approved (non-oncology)	MK-0733	NA	NA	NA	DMSO	10000	RYMZZMVNJRMUDD-HGQWONQESA-N	CHEMBL1064	Metabolic modifier
FIMM000257...Goserelin	FIMM000257	Goserelin	Gonadotropin releasing hormone superagonist	LHCGR;GNRHR	F.Hormone therapy	Approved	ICI-118630	NA	NA	NA	DMSO	10000	BLCLNMBMMGCOAS-URPVMXJPSA-N	CHEMBL1201247,CHEMBL1200501	Hormone therapy
FIMM000262...Raloxifene	FIMM000262	Raloxifene	Selective estrogen receptor modulator	ESR1;ESR2;SERPINB9;TFF1	F.Hormone therapy	Approved	LY-139481	NA	NA	NA	DMSO	10000	GZUITABIAKMVPG-UHFFFAOYSA-N	CHEMBL1116,CHEMBL81	Hormone therapy
FIMM000264...Plicamycin	FIMM000264	Plicamycin	RNA synthesis inhibitor	RNA	A.Conv.Chemo	Approved	NA	Mithramycin A	NA	NA	DMSO	10000	CFCUWKMKBJTWLW-BGLFSJPPSA-N	CHEMBL1237054	Conv.Chemo
FIMM000274...Lapatinib	FIMM000274	Lapatinib	HER2, EGFR inhibitor	EGFR;ERBB2	B.Kinase inhibitor	Approved	GW572016	GW2016	NA	NA	DMSO	1000	BCFGMOOMADDAQU-UHFFFAOYSA-N	CHEMBL1076241,CHEMBL554,CHEMBL1201179	Kinase inhibitor
FIMM000287...Bortezomib	FIMM000287	Bortezomib	Proteasome inhibitor (26S subunit)	PSMB5;PSMB1	L.Protease.proteasome inhibitor	Approved	PS-341	MS-341	NA	NA	DMSO	1000	GXJABQQUPOEUTA-DOTOQJQBSA-N	CHEMBL325041	Protease.proteasome inhibitor
FIMM000290...Letrozole	FIMM000290	Letrozole	Aromatase inhibitor	CYP19A1	F.Hormone therapy	Approved	CGS-20267	NA	NA	NA	DMSO	10000	HPJKCIUCZWXJDR-UHFFFAOYSA-N	CHEMBL1444	Hormone therapy
FIMM000296...Bexarotene	FIMM000296	Bexarotene	Antineoplastic agent, retinoid specifically selective for retinoid X receptors	RXRA;RXRB	E.Differentiating.epigenetic modifier	Approved	NA	NA	NA	NA	DMSO	10000	NAVMQTYZDKMPEU-UHFFFAOYSA-N	CHEMBL1023	Differentiating.epigenetic modifier
FIMM000298...Celecoxib	FIMM000298	Celecoxib	Selective COX-2 inhibitor	PTGS2	J.NSAID	Approved	SC-58634	NA	NA	NA	DMSO	10000	RZEKVGVHFLEQIL-UHFFFAOYSA-N	CHEMBL118,CHEMBL395268,CHEMBL1801594	Other
FIMM000303...Anastrozole	FIMM000303	Anastrozole	Aromatase inhibitor	CYP19A1	F.Hormone therapy	Approved	ZD1033	NA	NA	NA	DMSO	10000	YBBLVLTVTVSKRW-UHFFFAOYSA-N	CHEMBL1399	Hormone therapy
FIMM000304...Bicalutamide	FIMM000304	Bicalutamide	Nonsteriodal antiandrogen	AR	F.Hormone therapy	Approved	NA	NA	NA	NA	DMSO	10000	LKJPYSCBVHEWIU-UHFFFAOYSA-N	CHEMBL409	Hormone therapy
FIMM000321...Clofarabine	FIMM000321	Clofarabine	Antimetabolite, Purine analog	RRM1	A.Conv.Chemo	Approved	NA	NA	Prodrug, activated in the cells	NA	DMSO	10000	WDDPHFBMKLOVOX-AYQXTPAHSA-N	CHEMBL1750	Conv.Chemo
FIMM000337...Vincristine	FIMM000337	Vincristine	Mitotic inhibitor, Vinca alkaloid microtubule depolymerizer	TUBB;TUBA4A	A.Conv.Chemo	Approved	NA	NA	NA	NA	DMSO	1000	OGWKCGZFUXNPDA-XQKSVPLYSA-N	CHEMBL501867,CHEMBL90555	Conv.Chemo
FIMM000344...Vinorelbine	FIMM000344	Vinorelbine	Mitotic inhibitor, Vinca alkaloid microtubule depolymerizer	TUBB	A.Conv.Chemo	Approved	NA	NA	NA	NA	DMSO	10000	GBABOYUKABKIAF-IELIFDKJSA-N	CHEMBL1200655,CHEMBL607994	Conv.Chemo
FIMM000360...Aminoglutethimide	FIMM000360	Aminoglutethimide	Anti-steroid, aromatase inhibitor	CYP19A1	F.Hormone therapy	Approved	NA	NA	NA	NA	DMSO	10000	ROBVIMPUHSLWNV-UHFFFAOYSA-N	CHEMBL488	Hormone therapy
FIMM000370...Vinblastine	FIMM000370	Vinblastine	Mitotic inhibitor, Vinca alkaloid microtubule depolymerizer	TUBA1A;TUBB;TUBD1;TUBG1;TUBE1	A.Conv.Chemo	Approved	NA	NA	NA	NA	DMSO	1000	JXLYSJRDGCGARV-XQKSVPLYSA-N	CHEMBL159,CHEMBL378544	Conv.Chemo
FIMM000390...Thalidomide	FIMM000390	Thalidomide	Immunosuppressant	CRBN;TNF;NFKB1;FGFR2;PTGS2	D.Immunomodulatory	Approved	NA	NA	NA	NA	DMSO	10000	UEJJHQNACJXSKW-UHFFFAOYSA-N	CHEMBL468	Immunomodulatory
FIMM000396...Clomifene	FIMM000396	Clomifene	Selective estrogen receptor modulator	ESR1;SHBG	F.Hormone therapy	Approved	NA	NA	NA	NA	DMSO	10000	GKIRPKYJQBWNGO-OCEACIFDSA-N	CHEMBL1200667,CHEMBL954	Hormone therapy
FIMM000406...Cytarabine	FIMM000406	Cytarabine	Antimetabolite, Pyrimidine analog, interferes with DNA synthesis	POLB;DNA	A.Conv.Chemo	Approved	NA	Ara-C	Prodrug, activated in the cells	NA	DMSO	10000	UHDGCWIWMRVCDJ-CCXZUQQUSA-N	CHEMBL2092816,CHEMBL596186,CHEMBL803,CHEMBL1256472	Conv.Chemo
FIMM000406.FIMM000173...Cytarabine.Idarubicin	FIMM000406.FIMM000173	Cytarabine.Idarubicin	Antimetabolite, interferes with DNA synthesis, Topoisomerase II inhibitor	TOP2A;TOP2B;DNA;POLB	N.Conv.Chemo Combo	Approved	NA	NA	NA	NA	NA	NA	NA	NA	Other
FIMM000416...Disulfiram_CuCl2	FIMM000416	Disulfiram_CuCl2	alcohol dehydrogenase inhibitor	ALDH1A1	H.Metabolic modifier	Approved (non-oncology)	Disulfiram	NA	NA	NA	DMSO	50000	AUZONCFQVSMFAP-UHFFFAOYSA-N	CHEMBL964	Metabolic modifier
FIMM000428...Finasteride	FIMM000428	Finasteride	type II 5-alpha reductase inhibitor	SRD5A2	F.Hormone therapy	Approved	MK-906	NA	NA	NA	DMSO	10000	DBEPLOCGEIEOCV-WSBQPABSSA-N	CHEMBL710	Hormone therapy
FIMM000439...Fluorouracil	FIMM000439	Fluorouracil	Antimetabolite, Pyrimidine analog, interferes with DNA synthesis	TYMS	A.Conv.Chemo	Approved	NA	5-fluorouracil, 5-FU	Prodrug, activated in the cells	NA	DMSO	10000	GHASVSINZRGABV-UHFFFAOYSA-N	CHEMBL185	Conv.Chemo
FIMM000446...Flutamide	FIMM000446	Flutamide	Nonsteroidal antiandrogen	AR;AHR;NR1I2	F.Hormone therapy	Approved	SCH 13521	NA	NA	NA	DMSO	10000	MKXKFYHWDHIYRV-UHFFFAOYSA-N	CHEMBL806	Hormone therapy
FIMM000464...Imiquimod	FIMM000464	Imiquimod	Immunomodulatory agent, TLR7 agonist	TLR7;TLR8	D.Immunomodulatory	Approved	NA	NA	NA	NA	DMSO	2500	DOUYETYNHWVLEO-UHFFFAOYSA-N	CHEMBL1282	Immunomodulatory
FIMM000484...Methylprednisolone	FIMM000484	Methylprednisolone	Glucocorticoid, immunomodulatory agent	NR3C1	D.Immunomodulatory	Approved	NA	NA	NA	NA	DMSO	10000	VHRSUDSXCMQTMA-PJHHCJLFSA-N	CHEMBL1201081,CHEMBL278063,CHEMBL650,CHEMBL1201265,CHEMBL1206473,CHEMBL1200844	Immunomodulatory
FIMM000490...Mitoxantrone	FIMM000490	Mitoxantrone	Topoisomerase II inhibitor	TOP2A;TOP2B	A.Conv.Chemo	Approved	NA	NA	NA	NA	DMSO	1000	KKZJGLLVHKMTCM-UHFFFAOYSA-N	CHEMBL1200827,CHEMBL58,CHEMBL1417019	Conv.Chemo
FIMM000491...Paclitaxel	FIMM000491	Paclitaxel	Mitotic inhibitor, taxane microtubule stabilizer	TUBB1;BCL2;MAP2;MAP4;MAPT	A.Conv.Chemo	Approved	ABI-007	NA	NA	NA	DMSO	1000	RCINICONZNJXQF-MZXODVADSA-N	CHEMBL428647,CHEMBL48,CHEMBL1429740	Conv.Chemo
FIMM000519...Prednisolone	FIMM000519	Prednisolone	Glucocorticoid, immunomodulatory agent	NR3C1	D.Immunomodulatory	Approved	NA	NA	NA	NA	DMSO	10000	OIGNJSKKLXVSLS-VWUMJDOOSA-N	CHEMBL131	Immunomodulatory
FIMM000528...Mepacrine	FIMM000528	Mepacrine	Unclear PLA2 inhibitor, NF-kB inhibitor, p53 activator	PLA2G6;PLA2G4A;PLCL1	X.Other	Approved	NA	Quinacrine (USAN), Achricrine	NA	NA	AQ	50000	GPKJTRJOBQGKQK-UHFFFAOYSA-N	CHEMBL2105615,CHEMBL554190,CHEMBL7568,CHEMBL556980,CHEMBL546257	Other
FIMM000556...Topotecan	FIMM000556	Topotecan	Topoisomerase I inhibitor, Camptothecin analog	TOP1	A.Conv.Chemo	Approved	SKF-104864	NA	NA	NA	DMSO	10000	UCFGDBYHRUNTLO-QHCPKHFHSA-N	CHEMBL1607,CHEMBL84	Conv.Chemo
FIMM000560...Temozolomide	FIMM000560	Temozolomide	Alkylating agent	DNA	A.Conv.Chemo	Approved	SCH 52365	NA	Prodrug, activated in the cells	NA	DMSO	100000	BPEGJWRSRHCHSN-UHFFFAOYSA-N	CHEMBL810	Conv.Chemo
FIMM000617...Fulvestrant	FIMM000617	Fulvestrant	Estrogen receptor antagonist	ESR1	F.Hormone therapy	Approved	ICI 182,780	NA	NA	NA	DMSO	1000	VWUXBMIQPBEWFH-WCCTWKNTSA-N	CHEMBL1358	Hormone therapy
FIMM000618...Megestrol_acetate	FIMM000618	Megestrol_acetate	Progestogen	PGR;AR;NR3C1;ESR1	F.Hormone therapy	Approved	NA	NA	NA	NA	DMSO	10000	RQZAXGRLVPAYTJ-GQFGMJRRSA-N	CHEMBL1201139	Hormone therapy
FIMM000620...Tamoxifen	FIMM000620	Tamoxifen	Estrogen receptor antagonist	ESR1;ESR2	F.Hormone therapy	Approved	ICI-46474	NA	Prodrug, reduced activity compared to main metabolite 4-hydroxytamoxifen	NA	DMSO	10000	NKANXQFJJICGDU-QPLCGJKRSA-N	CHEMBL786,CHEMBL83	Hormone therapy
FIMM000649...Methotrexate	FIMM000649	Methotrexate	Antimetabolite, Antifolate, Dihydrofolate reductase inhibitor	DHFR;TYMS	H.Metabolic modifier	Approved	NA	MTX	NA	NA	DMSO	5000	FBOZXECLQNJBKD-ZDUSSCGKSA-N	CHEMBL34259,CHEMBL426,CHEMBL1376974,CHEMBL2096644	Metabolic modifier
FIMM000773...Nilutamide	FIMM000773	Nilutamide	Nonsteroidal antiandrogen	AR	F.Hormone therapy	Approved	NA	NA	NA	NA	DMSO	10000	XWXYUMMDTVBTOU-UHFFFAOYSA-N	CHEMBL1274	Hormone therapy
FIMM000822...Mitotane	FIMM000822	Mitotane	Antineoplastic agent	CYP11B1;	A.Conv.Chemo	Approved	NA	NA	NA	NA	DMSO	10000	JWBOIMRXGHLCPP-CYBMUJFWSA-N	CHEMBL1670	Conv.Chemo
FIMM000833...Allopurinol	FIMM000833	Allopurinol	Xanthine oxidase inhibitor	XDH	A.Conv.Chemo	Approved	NA	NA	NA	NA	DMSO	10000	OFCNXPDARWKPPY-UHFFFAOYSA-N	CHEMBL1467,CHEMBL1200477	Conv.Chemo
FIMM000914...Deferoxamine	FIMM000914	Deferoxamine	Iron chelator	APP	X.Other	Approved (non-oncology)	NA	desferrioxamine, DFOM	NA	NA	AQ	10000	UBQYURCVBFRUQT-UHFFFAOYSA-N	CHEMBL556,CHEMBL2002581,CHEMBL1234	Other
FIMM000926...Digoxin	FIMM000926	Digoxin	Cardiac glycoside	ATP1A1;ITGB1;ITGB3;ITGA3;ITGA1	X.Other	Approved (non-oncology)	NA	NA	NA	NA	DMSO	1000	NA	NA	Other
FIMM000983...Hydroxyurea	FIMM000983	Hydroxyurea	Antineoplastic agent	RRM1	A.Conv.Chemo	Approved	NA	NA	Prodrug, activated in the cells	NA	DMSO	1000000	VSNHCAURESNICA-UHFFFAOYSA-N	CHEMBL467	Conv.Chemo
FIMM001000...Mercaptopurine	FIMM001000	Mercaptopurine	Antimetabolite, Purine analog	HPRT1;PPAT	A.Conv.Chemo	Approved	NA	6-mercaptopurine, 6-MP	Prodrug, activated in the cells	NA	DMSO	10000	GLVAUDGFNGKCSF-UHFFFAOYSA-N	CHEMBL1200751,CHEMBL1425	Conv.Chemo
FIMM001062...Thioguanine	FIMM001062	Thioguanine	Antimetabolite, Purine analog	DNMT1	A.Conv.Chemo	Approved	NA	6-thioguanine, 6-TG	Prodrug, activated in the cells	NA	DMSO	10000	WYWHKKSPHMUBEB-UHFFFAOYSA-N	CHEMBL727	Conv.Chemo
FIMM001244...Tacrolimus	FIMM001244	Tacrolimus	binds FKBP12, causes inhibition of calcineurin	FKBP1A	C.Rapalog	Approved	FK-506	NA	NA	NA	DMSO	10000	QJJXYPPXXYFBGM-LFZNUXCKSA-N	CHEMBL269732	Rapalog
FIMM001355...Epirubicin	FIMM001355	Epirubicin	Topoisomerase II inhibitor	TOP2A;TOP2B	A.Conv.Chemo	Approved	IMI-28	NA	NA	NA	DMSO	1000	AOJJSUZBOXZQNB-VTZDEGQISA-N	CHEMBL417	Conv.Chemo
FIMM001376...Itraconazole	FIMM001376	Itraconazole	antifungal, hedgehog signaling inhibitor	CYP51A1;CYP3A4	X.Other	Approved (non-oncology)	NA	NA	NA	NA	DMSO	5000	VHVPQPYKVGDNFY-ZPGVKDDISA-N	CHEMBL22587	Other
FIMM001823...AT_101	FIMM001823	AT-101	pan Bcl-2 family inhibitor	BCL2;BCL2L1;MCL1	G.Apoptotic modulator	Investigational (Ph 2)	AT 101	R-(-)-gossypol	NA	NA	DMSO	100000	QBKSWRVVCFFDOT-UHFFFAOYSA-N	CHEMBL15972	Apoptotic modulator
FIMM002337...BI_2536	FIMM002337	BI-2536	PLK1 inhibitor	PLK1	B.Kinase inhibitor	Investigational (Ph 2)	BI 2536	NA	NA	Inactive	DMSO	1000	XQVVPGYIWAGRNI-JOCHJYFZSA-N	CHEMBL513909	Kinase inhibitor
FIMM002374...SN_38	FIMM002374	SN-38	Active metabolite of irinotecan, Topoisomerase I inhibitor	TOP1	A.Conv.Chemo	(Approved)	SN-38	BR-36613, 7-Ethyl-10-hydroxycamptothecine	NA	NA	DMSO	10000	FJHBVJOVLFPMQE-QFIPXVFZSA-N	CHEMBL837	Conv.Chemo
FIMM003569...Pravastatin	FIMM003569	Pravastatin	HMG CoA reductase inhibitor	HMGCR	H.Metabolic modifier	Approved (non-oncology)	CS-514	SQ-31000, Eptastatin	NA	NA	AQ	10000	TUZYXOIXSAXUGO-PZAWKZKUSA-M	CHEMBL1144,CHEMBL690	Metabolic modifier
FIMM003593...Exemestane	FIMM003593	Exemestane	Aromatase inhibitor	CYP19A1	F.Hormone therapy	Approved	NA	NA	NA	NA	DMSO	10000	BFYIZQONLCFLEV-DAELLWKTSA-N	CHEMBL1200374	Hormone therapy
FIMM003635...Raltitrexed	FIMM003635	Raltitrexed	Antimetabolite, Antifolate, Dihydrofolate reductase inhibitor, thymidylate synthase inhibitor	TYMS;DHFR	A.Conv.Chemo	Approved	ZD1694	ICI-D 1694	NA	NA	DMSO	1000	IVTVGDXNLFLDRM-HNNXBMFYSA-N	CHEMBL225071	Conv.Chemo
FIMM003705...Palbociclib	FIMM003705	Palbociclib	Topoisomerase I inhibitor, Camptothecin analog	CDK4;CDK6	B.Kinase inhibitor	Approved	PD-0332991	NA	NA	NA	AQ	10000	AHJRHEGDXFFMBM-UHFFFAOYSA-N	CHEMBL189963,CHEMBL2364621	Kinase inhibitor
FIMM003706...AT9283	FIMM003706	AT9283	Aurora A and B, Jak2, Flt, ABL inhibitor	AURKA;AURKB;JAK2;JAK3;ABL1;ABL2;FGFR2;GSK3B;MERTK;FLT4;FLT1;RPS6KA3;RPS6KA2;RET;TYK2;YES1;FGFR1;PDGFRA;FLT1;STK17A;RPS6KA6;FLT3;KDR;SRC	B.Kinase inhibitor	Investigational (Ph 2)	AT9283	NA	NA	Inactive	DMSO	1000	LOLPPWBBNUVNQZ-UHFFFAOYSA-N	CHEMBL495727,CHEMBL496311	Kinase inhibitor
FIMM003707...Navitoclax	FIMM003707	Navitoclax	Bcl-2,Bcl-XL inhibitor	BCL2;BCL2L2;BAD;BCL2L1;MCL1	G.Apoptotic modulator	Investigational (Ph 2)	ABT-263	NA	NA	NA	DMSO	10000	JLYAXFNOILIKPP-KXQOOQHDSA-N	CHEMBL1269095,CHEMBL443684,CHEMBL2105690	Apoptotic modulator
FIMM003708...Selumetinib	FIMM003708	Selumetinib	MEK1 and 2 inhibitor	MAP2K1	B.Kinase inhibitor	Investigational (Ph 3)	AZD6244	ARRY-142886	NA	NA	DMSO	10000	CYOHGALHFOKKQC-UHFFFAOYSA-N	CHEMBL1614701,CHEMBL2105684	Kinase inhibitor
FIMM003709...Veliparib	FIMM003709	Veliparib	PARP inhibitor	PARP1	E.Differentiating.epigenetic modifier	Investigational (Ph 3)	ABT-888	NA	NA	NA	DMSO	10000	JNAHVYVRKWKWKQ-UHFFFAOYSA-N	CHEMBL506871	Differentiating.epigenetic modifier
FIMM003710...Afatinib	FIMM003710	Afatinib	EGFR inhibitor	EGFR;ERBB2;ERBB4	B.Kinase inhibitor	Approved	BIBW2992	NA	Irreversible	NA	DMSO	1000	ULXXDDBFHOBEHA-CWDCEQMOSA-N	CHEMBL1173655,CHEMBL2105712	Kinase inhibitor
FIMM003711...Dovitinib	FIMM003711	Dovitinib	FGFR inhibitor	FGFR1;FGFR3;KIT;FLT3;FLT4	B.Kinase inhibitor	Investigational (Ph 3)	CHIR-258	TKI258	NA	NA	DMSO	10000	PIQCTGMSNWUMAF-UHFFFAOYSA-N	CHEMBL522892,CHEMBL2103806	Kinase inhibitor
FIMM003713...Crizotinib	FIMM003713	Crizotinib	ALK, c-Met inhibitor	ALK;MET	B.Kinase inhibitor	Approved	PF-02341066	NA	NA	NA	DMSO	1000	KTEIFNKAUNYNJU-GFCCVEGCSA-N	CHEMBL601719	Kinase inhibitor
FIMM003714...Danusertib	FIMM003714	Danusertib	Aurora, Ret, TrkA, FGFR-1 inhibitor	AURKA;AURKB;RET;FGFR1;ABL1;NTRK1	B.Kinase inhibitor	Investigational (Ph 2)	PHA-739358	NA	NA	Inactive	DMSO	10000	XKFTZKGMDDZMJI-HSZRJFAPSA-N	CHEMBL402548,CHEMBL534499	Kinase inhibitor
FIMM003715...Foretinib	FIMM003715	Foretinib	MET, VEGFR2 inhibitor	MET;KDR	B.Kinase inhibitor	Investigational (Ph 2)	GSK1363089	XL880, EXEL-2880	NA	NA	DMSO	1000	CXQHYVUVSFXTMY-UHFFFAOYSA-N	CHEMBL1230609	Kinase inhibitor
FIMM003716...Abiraterone	FIMM003716	Abiraterone	P450 17alpha-hydroxylase-17,20-lyase inhibitor	CYP17A1	F.Hormone therapy	Approved	CB-7598	NA	NA	NA	DMSO	5000	GZOSMCIZMLWJML-VJLLXTKPSA-N	CHEMBL254328	Hormone therapy
FIMM003719...SNS_032	FIMM003719	SNS-032	CDK inhibitor	CDK2;CDK7;CDK9;GSK3A	B.Kinase inhibitor	Investigational (Ph 2)	SNS-032	BMS-387032	NA	Inactive	DMSO	10000	OUSFTKFNBAZUKL-UHFFFAOYSA-N	CHEMBL296468	Kinase inhibitor
FIMM003720...ABT_751	FIMM003720	ABT-751	Mitotic inhibitor, Colchicine site binding microtubule depolymerizer	TUBB	A.Conv.Chemo	Investigational (Ph 2)	ABT-751	NA	NA	Inactive	DMSO	10000	URCVCIZFVQDVPM-UHFFFAOYSA-N	CHEMBL1830238,CHEMBL20684	Conv.Chemo
FIMM003722...BIIB021	FIMM003722	BIIB021	HSP90 inhibitor	HSP90AA1	K.HSP inhibitor	Investigational (Ph 2)	BIIB021	NA	NA	Inactive	DMSO	10000	QULDDKSCVCJTPV-UHFFFAOYSA-N	CHEMBL467399,CHEMBL557165	HSP inhibitor
FIMM003724...Decitabine	FIMM003724	Decitabine	Antimetabolite, Nucleoside analog, DNA methyl transferase inhibitor	TYMS	E.Differentiating.epigenetic modifier	Approved	NA	5-aza-2'-deoxycytidine	Prodrug, activated in the cells	NA	DMSO	10000	XAUDJQYHKZQPEU-KVQBGUIXSA-N	CHEMBL1201129	Differentiating.epigenetic modifier
FIMM003725...Alvocidib	FIMM003725	Alvocidib	CDK inhibitor	CDK9;CDK1;CDK2;CDK4;CDK6;CDK7	B.Kinase inhibitor	Investigational (Ph 2)	NA	Flavopiridol, HMR-1275	NA	NA	DMSO	10000	BIIVYFLTOXDAOV-YVEFUNNKSA-N	CHEMBL428690,CHEMBL2105698	Kinase inhibitor
FIMM003728...Tipifarnib	FIMM003728	Tipifarnib	Farnesyltransferase inhibitor	FNTA	E.Differentiating.epigenetic modifier	Investigational (Ph 3)	R115777	Zarnestra, IND 58359	NA	NA	DMSO	10000	PLHJCIYEEKOWNM-HHHXNRCGSA-N	CHEMBL289228	Differentiating.epigenetic modifier
FIMM003730...Ponatinib	FIMM003730	Ponatinib	Broad TK inhibitor	ABL1;PDGFRA;KDR;FGFR1;SRC;KIT	B.Kinase inhibitor	Approved	AP24534	NA	NA	NA	DMSO	1000	PHXJVRSECIGDHY-UHFFFAOYSA-N	CHEMBL1171837,CHEMBL2105708	Kinase inhibitor
FIMM003732...Perifosine	FIMM003732	Perifosine	AKT, PI3K inhibitor	PIK3CA;PIK3CB;PIK3CD;PIK3CG;AKT1;AKT2;AKT3	B.Kinase inhibitor	Investigational (Ph 3)	NA	NA	NA	NA	AQ	2500	SZFPYBIJACMNJV-UHFFFAOYSA-N	CHEMBL372764	Kinase inhibitor
FIMM003733...Motesanib	FIMM003733	Motesanib	VEGFR, PDGFR, Ret, Kit inhibitor	KDR;FLT1;FLT4;KIT;PDGFRA;PDGFRB;RET	B.Kinase inhibitor	Investigational (Ph 2)	AMG-706	NA	NA	NA	DMSO	10000	RAHBGWKEPAQNFF-UHFFFAOYSA-N	CHEMBL572881,CHEMBL2107357	Kinase inhibitor
FIMM003734...Cediranib	FIMM003734	Cediranib	KDR, Flt and VEGFR inhibitor	KDR;FLT1;FLT4;KIT;PDGFRA;PDGFRB;FGFR1;FGFR2	B.Kinase inhibitor	Investigational (Ph 3)	AZD2171	NA	NA	NA	DMSO	1000	XXJWYDDUDKYVKI-UHFFFAOYSA-N	CHEMBL491473,CHEMBL2103798	Kinase inhibitor
FIMM003736...Rucaparib	FIMM003736	Rucaparib	PARP inhibitor	PARP1	E.Differentiating.epigenetic modifier	Approved (US)	AG-014699	AG-014447, PF-01367338	NA	NA	DMSO	10000	HMABYWSNWIZPAG-UHFFFAOYSA-N	CHEMBL1173055,CHEMBL2105733	Differentiating.epigenetic modifier
FIMM003737...Tarenflurbil	FIMM003737	Tarenflurbil	Gamma-secretase inhibitor	APP;PSEN1;NCSTN;APH1A;APH1B;PSENEN;APH1B;APH1A	X.Other	Investigational (Ph 3)	NA	(R)-Flurbiprofen	NA	Inactive	DMSO	10000	SYTBZMRGLBWNTM-SNVBAGLBSA-N	CHEMBL190083	Other
