gene	pearson_corr	pearson_pvalue	pearson_FDR	spearman_corr	spearman_pvalue	spearman_FDR	mean_RNA	mean_protein	sd_RNA	sd_protein	number_of_samples
ABHD12	0.5636	1.242e-06	2.49e-06	0.5768	6.09e-07	1.39e-06	26.39	0.01	17.4	0.26	64
ABHD13	0.3704	0.002591	0.00347	0.4774	6.633e-05	0.000114	20.94	-0.02	6.07	0.23	64
ABHD14A	0.0635	0.6612	0.682	0.2356	0.0995	0.115	6	0.02	2.52	0.49	50
ABHD14B	0.7697	1.064e-13	6.51e-13	0.8524	4.074e-19	5e-18	34.11	0.07	14.28	0.44	64
ABHD15	0.4576	0.0001436	0.000222	0.6011	1.501e-07	3.72e-07	32.14	-0.07	27.06	0.57	64
ABHD16A	0.3921	0.001353	0.00186	0.4187	0.0005743	0.000879	3.66	0.03	0.95	0.21	64
ABHD17A	0.2685	0.03196	0.0384	0.292	0.0192	0.0243	14.03	-0.03	6.77	0.37	64
ABHD17B	0.6212	4.323e-08	1.07e-07	0.649	6.608e-09	1.96e-08	113.37	0.03	63.78	0.35	64
ABHD17C	0.6981	1.434e-10	5.07e-10	0.8325	1.521e-17	1.43e-16	7.88	0.06	6.76	0.59	64
ABHD18	0.123	0.3329	0.358	0.1295	0.3077	0.335	23.93	0	6.55	0.22	64
ABHD2	0.6052	1.178e-07	2.72e-07	0.6339	1.881e-08	5.24e-08	36.95	0.08	22.49	0.7	64
ABHD3	0.588	3.239e-07	7.03e-07	0.5877	3.301e-07	7.8e-07	39.17	-0.13	22.8	0.5	64
ABHD4	0.8057	9.807e-16	8.85e-15	0.773	7.186e-14	4.15e-13	23.3	0.02	32.21	0.63	64
ABHD5	0.234	0.0627	0.073	0.2242	0.07488	0.0879	9.36	0.21	3.77	0.44	64
ABHD6	0.86	9.042e-20	2.42e-18	0.8926	4.015e-23	1.06e-21	9.82	-0.15	8.45	0.46	64
ABI1	0.7182	2.394e-11	9.71e-11	0.7499	9.963e-13	4.95e-12	108.74	0.09	37.29	0.37	64
ABI2	0.2325	0.06448	0.075	0.2459	0.05013	0.0601	18.23	0.21	8.79	0.54	64
ABI3	0.803	1.445e-15	1.26e-14	0.881	7.951e-22	1.6e-20	16.4	-0.26	25.45	0.74	64
ABITRAM	-0.1743	0.1685	0.187	-0.0817	0.5209	0.548	17.35	0.08	4.7	0.21	64
ABL1	0.6103	8.586e-08	2.02e-07	0.4223	0.0005091	0.000783	59.38	-0.17	26.05	0.66	64
ABL2	0.3791	0.002005	0.00271	0.4477	0.0002077	0.000336	12.9	0.1	5.62	0.24	64
ABLIM1	0.808	7.043e-16	6.57e-15	0.8717	7.17e-21	1.22e-19	11.88	-0.32	12.24	0.76	64
ABLIM2	0.6433	6.771e-08	1.62e-07	0.47	0.000225	0.000363	0.86	-0.39	2.14	0.5	57
ABO	0.0477	0.833	0.846	-0.0623	0.783	0.8	0.01	0.13	0.03	0.49	22
ABR	0.8177	1.658e-16	1.79e-15	0.9091	2.931e-25	1.2e-23	12.62	-0.28	17.75	0.66	64
ABRACL	0.5617	1.374e-06	2.73e-06	0.5547	1.971e-06	4.18e-06	241.76	0.07	91.94	0.34	64
ABRAXAS1	0.6363	1.597e-08	4.18e-08	0.7372	3.763e-12	1.73e-11	19.1	0.21	9.92	0.4	64
ABRAXAS2	0.2886	0.02073	0.0254	0.1039	0.414	0.442	44.07	0.11	10.92	0.2	64
ABT1	0.2215	0.07857	0.0906	0.1394	0.2719	0.297	42.14	-0.05	11.8	0.21	64
ABTB1	0.4422	0.0002539	0.000381	0.4981	2.814e-05	5.1e-05	4.38	0.01	2.66	0.48	64
ABTB2	0.5598	0.001296	0.00179	0.5613	0.001251	0.00183	1.17	-0.03	1.86	0.5	30
AC004151.1	0.6908	2.663e-10	8.98e-10	0.685	4.303e-10	1.5e-09	47.99	0.07	25.73	0.38	64
AC004706.3	0.5142	1.387e-05	2.43e-05	0.511	1.599e-05	3e-05	0.93	0.07	0.59	0.36	64
AC005261.1	0.3461	0.008366	0.0106	0.2317	0.08294	0.0968	26.72	0.08	6.92	0.25	57
AC005747.1	0.8763	2.477e-21	1.1e-19	0.9347	1.54e-29	2.21e-27	42.86	-0.24	28.5	0.68	64
AC011005.1	0.1714	0.1758	0.195	0.092	0.4698	0.497	0.21	-0.09	0.18	0.36	64
AC022966.1	0.5802	5.035e-07	1.06e-06	0.4917	3.687e-05	6.58e-05	25.04	0.02	11.48	0.29	64
AC040160.1	0.2248	0.0741	0.0857	0.2654	0.03407	0.0418	0.45	-0.34	0.53	0.87	64
AC073111.4	0.5173	3.781e-05	6.28e-05	0.6406	8.019e-08	2.05e-07	11.45	0.12	7.73	0.35	57
AC091230.1	-0.0471	0.7115	0.731	0.0316	0.8041	0.82	0.04	0.21	0.07	0.36	64
AC091959.3	0.007	0.9717	0.975	-0.0055	0.9778	0.981	0	-0.37	0.01	0.53	28
AC092279.1	0.0469	0.8057	0.821	0.1902	0.314	0.341	12.5	0.05	5.33	0.52	30
AC092835.1	0.743	6.469e-10	2.05e-09	0.7536	2.695e-10	9.65e-10	13.19	-0.03	7.35	0.56	50
AC093012.1	0.0463	0.7163	0.735	0.0736	0.5633	0.59	0.01	0.08	0.04	0.3	64
AC093323.1	0.5932	2.394e-07	5.3e-07	0.6237	3.689e-08	9.87e-08	22.86	-0.01	10.49	0.55	64
AC118549.1	0.5212	1.005e-05	1.79e-05	0.5065	1.948e-05	3.61e-05	46.83	0.07	12.38	0.16	64
AC119396.1	0.815	2.477e-16	2.55e-15	0.8529	3.726e-19	4.61e-18	64.12	-0.06	67.54	0.48	64
AC233755.2	-0.0874	0.4924	0.519	-0.0621	0.6258	0.65	13.55	-3.6	42.36	2.11	64
ACAA1	0.6379	1.43e-08	3.77e-08	0.6058	1.135e-07	2.85e-07	16.52	-0.02	5.8	0.34	64
ACAA2	0.7524	7.603e-13	3.94e-12	0.5609	1.427e-06	3.09e-06	43.7	0.11	21.4	0.8	64
ACACA	0.6822	5.408e-10	1.73e-09	0.6664	1.852e-09	5.93e-09	43.05	-0.14	16.55	0.4	64
ACACB	0.7883	1.064e-14	7.92e-14	0.8148	2.558e-16	2.02e-15	3.18	-0.22	3.32	0.62	64
ACAD10	0.4703	8.81e-05	0.000141	0.5383	4.473e-06	9.04e-06	13.93	0.18	4.07	0.33	64
ACAD11	-0.0557	0.6619	0.683	-0.0493	0.699	0.72	2.3	-0.26	1.18	0.48	64
ACAD8	0.4142	0.0006668	0.000953	0.3084	0.01316	0.017	19.59	0.34	5.63	0.39	64
ACAD9	0.3966	0.001177	0.00163	0.2551	0.04193	0.0508	49.87	0.15	12.22	0.18	64
ACADM	0.663	2.396e-09	7e-09	0.5154	1.313e-05	2.5e-05	97.12	0.23	41.55	0.32	64
ACADS	0.6454	8.542e-09	2.33e-08	0.6395	1.288e-08	3.67e-08	8.83	0.05	5.55	0.62	64
ACADSB	0.535	5.254e-06	9.71e-06	0.5939	2.305e-07	5.56e-07	14.98	0.23	4.12	0.33	64
ACADVL	0.6667	1.816e-09	5.39e-09	0.5454	3.161e-06	6.5e-06	145.48	0.15	60.77	0.47	64
ACAP1	0.9056	8.983e-25	1.61e-22	0.8886	1.168e-22	2.85e-21	45.89	-0.05	28.22	0.55	64
ACAP2	0.7899	8.62e-15	6.56e-14	0.7402	2.751e-12	1.29e-11	62.74	0.14	25	0.34	64
ACAP3	0.5642	1.203e-06	2.42e-06	0.3921	0.001355	0.00197	13.39	0.2	5.9	0.35	64
ACAT1	0.7834	1.987e-14	1.4e-13	0.7186	2.288e-11	9.43e-11	41.54	0.07	19.39	0.48	64
ACAT2	0.8075	7.622e-16	7.06e-15	0.7917	6.823e-15	4.46e-14	100.32	-0.11	69.01	0.26	64
ACBD3	0.6851	4.273e-10	1.39e-09	0.6953	1.829e-10	6.68e-10	64.03	-0.02	29.36	0.21	64
ACBD4	0.6267	3.039e-08	7.67e-08	0.6488	6.716e-09	1.99e-08	7.58	-0.15	2.88	0.54	64
ACBD5	0.5212	1.007e-05	1.8e-05	0.4087	0.0007991	0.0012	29.62	-0.07	8.72	0.26	64
ACBD6	0.5619	1.356e-06	2.7e-06	0.5991	1.697e-07	4.17e-07	29.64	-0.12	8.73	0.3	64
ACBD7	0.7758	5.143e-14	3.35e-13	0.845	1.659e-18	1.84e-17	27.2	-0.09	24.91	0.73	64
ACCS	0.8235	6.659e-17	7.91e-16	0.6506	5.915e-09	1.77e-08	8.65	-0.43	12.91	0.82	64
ACD	0.3269	0.00838	0.0107	0.3185	0.01031	0.0135	23.29	0.15	8.86	0.22	64
ACE	0.7509	2.036e-07	4.55e-07	0.7962	1.073e-08	3.1e-08	0.54	0.08	1.2	0.95	35
ACIN1	0.4148	0.0006551	0.000937	0.3859	0.001639	0.00236	94.44	0.09	21.45	0.1	64
ACLY	0.8088	6.244e-16	5.89e-15	0.8074	7.73e-16	5.65e-15	261.05	-0.04	104.12	0.24	64
ACO1	0.9197	7.34e-27	4.68e-24	0.9382	2.829e-30	5.24e-28	18.85	0.17	11.32	0.42	64
ACO2	0.2022	0.1091	0.124	0.0327	0.7976	0.814	75.78	0.05	17.49	0.26	64
ACOT11	0.7769	1.371e-10	4.86e-10	0.9045	2.873e-18	3.05e-17	0.82	0.07	1.65	0.8	47
ACOT13	0.4197	0.0005553	0.000801	0.3376	0.006363	0.00852	22.95	0.16	8.7	0.24	64
ACOT2	0.8062	9.107e-16	8.27e-15	0.8208	1.014e-16	8.47e-16	9.29	-0.07	6.74	0.55	64
ACOT4	0.6333	1.514e-05	2.64e-05	0.3963	0.0125	0.0162	0.9	-0.61	2.32	0.96	39
ACOT7	0.6711	1.297e-09	3.92e-09	0.6475	7.377e-09	2.18e-08	20.58	-0.02	7.83	0.33	64
ACOT8	0.2461	0.04992	0.0588	0.3529	0.004235	0.00578	15.77	-0.01	3.65	0.26	64
ACOT9	0.8523	4.156e-19	9.02e-18	0.8292	2.642e-17	2.39e-16	14.55	-0.12	8.81	0.67	64
ACOX1	0.3806	0.001917	0.0026	0.3532	0.004199	0.00574	36.7	0	11.79	0.32	64
ACOX3	0.6608	2.822e-09	8.18e-09	0.6736	1.062e-09	3.53e-09	15.93	-0.13	5.85	0.47	64
ACP1	0.5037	2.211e-05	3.76e-05	0.4774	6.633e-05	0.000114	95.99	0.05	28.24	0.15	64
ACP2	0.8352	9.486e-18	1.4e-16	0.818	1.566e-16	1.27e-15	23.86	0.04	13.82	0.59	64
ACP5	0.7389	8.564e-05	0.000137	0.6012	0.003086	0.00429	1.48	-0.31	4.66	0.67	22
ACP6	0.7691	1.148e-13	6.97e-13	0.7793	3.318e-14	1.99e-13	5.44	0.02	4.05	0.55	64
ACSF2	0.6887	3.162e-10	1.05e-09	0.5376	4.635e-06	9.36e-06	21.34	0.23	6.88	0.48	64
ACSF3	0.6806	6.15e-10	1.96e-09	0.5586	1.612e-06	3.47e-06	16.4	0.25	8.94	0.36	64
ACSL1	0.8103	5.053e-16	4.86e-15	0.9005	4.216e-24	1.36e-22	16.79	-0.52	22.23	0.68	64
ACSL3	0.7528	7.323e-13	3.81e-12	0.7881	1.085e-14	6.93e-14	65.83	0	24.06	0.27	64
ACSL4	0.561	1.424e-06	2.83e-06	0.5321	6.038e-06	1.2e-05	69.19	-0.05	22.76	0.43	64
ACSL5	0.8877	1.473e-22	1.04e-20	0.8923	4.327e-23	1.14e-21	42.66	-0.25	28.38	0.71	64
ACSM3	0.4352	0.0003263	0.000484	0.6611	2.756e-09	8.63e-09	1.93	-0.05	3.69	0.77	64
ACSM4	NA	NA	NA	NA	NA	NA	0	0.16	0	0.66	24
ACSS1	0.8574	1.526e-19	3.78e-18	0.8434	2.226e-18	2.42e-17	25.39	0.11	16.59	0.53	64
ACSS2	0.7369	3.881e-12	1.79e-11	0.7925	6.078e-15	4e-14	16.04	0.15	10.76	0.74	64
ACTA1	-0.009	0.9472	0.953	0.036	0.7923	0.809	0.23	0	0.22	0.23	56
ACTB	0.64	1.244e-08	3.3e-08	0.6732	1.101e-09	3.65e-09	3462.21	-0.61	1358.85	0.83	64
ACTBL2	-0.0707	0.5785	0.603	-0.066	0.6045	0.63	0.01	-0.04	0.03	0.2	64
ACTG1	0.3195	0.01008	0.0127	0.2477	0.04844	0.0582	2646.93	-0.47	1438.06	0.56	64
ACTL6A	0.468	9.619e-05	0.000153	0.3683	0.002753	0.00386	102.3	0.11	44.14	0.14	64
ACTL8	0.6975	3.213e-06	6.1e-06	0.4849	0.003157	0.00439	0.31	-0.87	0.63	1.03	35
ACTN1	0.8689	1.338e-20	4.67e-19	0.8906	6.925e-23	1.73e-21	30.29	0.28	20.99	0.67	64
ACTN2	0.0578	0.7128	0.732	-0.0408	0.795	0.811	0.06	-0.05	0.1	0.52	43
ACTN4	0.8285	2.966e-17	3.82e-16	0.8243	5.874e-17	5.09e-16	78.95	0	34.67	0.37	64
ACTR10	0.3045	0.01442	0.0179	0.3387	0.006183	0.00829	32.11	0.06	8.14	0.22	64
ACTR1A	0.6371	1.51e-08	3.96e-08	0.6406	1.191e-08	3.42e-08	82.96	-0.04	20.87	0.21	64
ACTR1B	0.6025	1.382e-07	3.16e-07	0.6118	7.829e-08	2.01e-07	70.17	0.08	19.96	0.25	64
ACTR2	0.4825	5.399e-05	8.82e-05	0.4399	0.0002754	0.00044	253.61	0.03	73.98	0.26	64
ACTR3	0.1614	0.2027	0.223	0.1162	0.3605	0.388	102.52	0.03	30.68	0.3	64
ACTR3B	0.398	0.001125	0.00156	0.3711	0.002536	0.00357	5.39	-0.01	2.22	0.35	64
ACTR5	0.4665	0.0001022	0.000162	0.436	0.0003168	0.000501	23.36	0.03	6.16	0.2	64
ACTR6	0.4532	0.0001695	0.000261	0.4353	0.0003246	0.000513	33.01	0.06	9.36	0.14	64
ACTR8	0.3893	0.001476	0.00202	0.3766	0.002161	0.00306	42.45	0.05	12.58	0.15	64
ACVR1	0.7146	3.313e-11	1.31e-10	0.724	1.379e-11	5.85e-11	4.64	-0.08	4.04	0.72	64
ACVR1B	0.7504	9.451e-13	4.81e-12	0.7617	2.712e-13	1.45e-12	18.35	0.12	8.61	0.45	64
ACVR2B	0.6837	2.408e-09	7.03e-09	0.6773	3.841e-09	1.18e-08	17.87	0.17	8.92	0.39	59
ACY3	0.7828	2.142e-14	1.51e-13	0.8153	2.374e-16	1.89e-15	7.04	0.11	8.97	0.86	64
ACYP1	0.6137	6.963e-08	1.67e-07	0.6229	3.88e-08	1.03e-07	31.12	0.15	15.13	0.38	64
ACYP2	0.6377	1.456e-08	3.83e-08	0.5978	1.832e-07	4.49e-07	4.14	0.11	2.32	0.53	64
ADA	0.884	3.844e-22	2.32e-20	0.8587	1.18e-19	1.59e-18	216.16	0.06	179.44	0.9	64
ADA2	0.8022	1.616e-15	1.4e-14	0.8711	8.201e-21	1.38e-19	12.69	-0.13	19.98	1.01	64
ADAL	0.5734	7.34e-07	1.51e-06	0.5908	2.767e-07	6.62e-07	12.08	0.01	6.19	0.45	64
ADAM10	0.8086	6.423e-16	6.05e-15	0.8345	1.071e-17	1.03e-16	85.29	0.17	50.19	0.41	64
ADAM15	0.7749	5.749e-14	3.7e-13	0.7419	2.31e-12	1.1e-11	15.08	-0.12	10.23	0.58	64
ADAM17	0.307	0.01361	0.0169	0.2875	0.02125	0.0267	30.89	-0.04	8.33	0.28	64
ADAM19	0.7625	4.407e-09	1.25e-08	0.6973	2.888e-07	6.89e-07	19.53	-0.11	48.51	1.08	42
ADAM22	0.6917	2.469e-10	8.38e-10	0.7662	1.616e-13	8.88e-13	9.23	-0.06	7.77	0.41	64
ADAM23	0.5215	0.002206	0.00297	0.3225	0.07184	0.0845	12.35	-0.41	26.57	1.18	32
ADAM28	0.5106	0.01279	0.016	-0.0753	0.7328	0.753	0.77	0.61	2.99	0.84	23
ADAM29	-0.1798	0.3897	0.416	-0.221	0.2884	0.315	0.04	-0.29	0.07	0.3	25
ADAM8	0.7169	8.328e-06	1.5e-05	0.3686	0.04502	0.0544	7.44	-0.17	23.8	0.88	30
ADAM9	0.6443	9.196e-09	2.49e-08	0.6599	3.001e-09	9.35e-09	23.18	0.03	13.99	0.53	64
ADAMTS13	0.1069	0.4695	0.496	0.0446	0.7633	0.782	1.17	0.54	0.87	1.05	48
ADAMTS2	-0.309	0.06669	0.0775	-0.2438	0.1518	0.172	0.07	-0.05	0.14	0.46	36
ADAMTS7	0.8077	2.035e-07	4.55e-07	0.8173	1.111e-07	2.79e-07	8.58	0.23	12.59	1.22	28
ADAP1	0.6756	9.14e-10	2.83e-09	0.5364	4.9e-06	9.86e-06	0.53	-0.3	0.7	0.87	64
ADAR	0.6336	1.917e-08	4.96e-08	0.6546	4.441e-09	1.35e-08	180.83	0.05	46.55	0.19	64
ADARB1	0.8692	1.261e-20	4.45e-19	0.9186	1.104e-26	6.86e-25	26.26	-0.03	30.78	0.71	64
ADAT1	0.3483	0.004798	0.00625	0.3742	0.00232	0.00328	36.53	0.02	9.91	0.3	64
ADAT2	0.4968	2.972e-05	4.99e-05	0.5387	4.394e-06	8.89e-06	19.43	-0.03	6.17	0.23	64
ADAT3	0.1838	0.1459	0.164	0.2301	0.06743	0.0795	0.6	0.02	0.4	0.22	64
ADCK1	0.6848	4.354e-10	1.42e-09	0.6329	2.007e-08	5.57e-08	4.97	-0.03	2.95	0.37	64
ADCK2	0.553	2.157e-06	4.19e-06	0.5275	7.517e-06	1.48e-05	31.53	0.02	10.58	0.36	64
ADCK5	0.494	3.353e-05	5.6e-05	0.4652	0.0001076	0.000181	11.34	0.01	4.25	0.39	64
ADCY3	0.7269	1.038e-11	4.48e-11	0.7439	1.882e-12	9.02e-12	31.15	-0.2	18.88	0.45	64
ADCY6	0.8328	1.433e-17	2.03e-16	0.8998	5.234e-24	1.65e-22	15.89	-0.01	19.09	0.78	64
ADCY7	0.7585	3.903e-13	2.15e-12	0.8935	3.122e-23	8.45e-22	18.58	-0.2	28.36	0.73	64
ADCY9	0.8485	8.643e-19	1.69e-17	0.8555	2.228e-19	2.84e-18	8.69	0.02	6.62	0.76	64
ADD1	0.1868	0.1395	0.157	0.2375	0.05875	0.0698	52.02	0.03	18.86	0.34	64
ADD2	0.8377	6.186e-18	9.59e-17	0.8862	2.2e-22	5.01e-21	11.83	-0.29	17.81	1.05	64
ADD3	0.8036	1.332e-15	1.18e-14	0.8114	4.251e-16	3.22e-15	122.52	-0.04	64.73	0.45	64
ADGRA3	0.6191	4.954e-08	1.21e-07	0.8609	7.368e-20	1.04e-18	38.55	-0.21	46.71	0.6	64
ADGRE2	0.7282	9.2e-12	4.01e-11	0.8035	1.349e-15	9.62e-15	3.78	-0.34	6.14	1.33	64
ADGRE5	0.7231	1.503e-11	6.3e-11	0.8051	1.068e-15	7.69e-15	31.07	0.04	33.31	0.55	64
ADGRG1	0.788	1.108e-14	8.22e-14	0.8363	7.885e-18	7.77e-17	12.73	-0.36	20.09	1.06	64
ADGRG5	0.7341	0.0001006	0.000159	0.2736	0.218	0.241	4.37	0.13	11.06	0.67	22
ADGRL1	0.3819	0.001844	0.00251	0.4436	0.000241	0.000387	8.98	-0.07	5.99	0.57	64
ADGRL3	0.8082	7.498e-13	3.89e-12	0.4176	0.002298	0.00325	1.52	0.08	3.95	0.71	51
ADH5	0.5277	7.436e-06	1.35e-05	0.4498	0.0001922	0.000313	101.36	0.16	35.46	0.24	64
ADI1	0.7852	1.586e-14	1.14e-13	0.7746	5.921e-14	3.46e-13	41.31	-0.09	22.59	0.4	64
ADIPOR1	0.019	0.8818	0.892	0.1113	0.3814	0.41	110.94	-0.1	44.2	0.49	64
ADIPOR2	0.5007	2.51e-05	4.24e-05	0.3542	0.004084	0.00559	61.76	0.05	25.16	0.73	64
ADK	0.7489	1.112e-12	5.6e-12	0.7727	7.469e-14	4.3e-13	48.17	0.01	21.25	0.38	64
ADNP	0.283	0.02345	0.0286	0.3771	0.002132	0.00303	78.39	0.09	35.42	0.2	64
ADNP2	0.7084	5.826e-11	2.2e-10	0.6946	1.938e-10	7.06e-10	47.43	0.01	22.15	0.4	64
ADO	0.5859	3.664e-07	7.89e-07	0.6385	1.375e-08	3.91e-08	46.43	0.03	11.98	0.23	64
ADPGK	0.6969	1.594e-10	5.59e-10	0.7269	1.044e-11	4.49e-11	59.97	0.1	22.57	0.29	64
ADPRH	0.6434	8.866e-08	2.08e-07	0.5848	2.211e-06	4.66e-06	1.24	-0.83	3.41	0.88	56
ADPRHL1	0.7304	7.391e-12	3.27e-11	0.7975	3.088e-15	2.11e-14	6.18	-0.47	10.76	1.01	64
ADPRHL2	0.4038	0.0009356	0.00132	0.2524	0.04419	0.0534	58.45	0.08	14.02	0.16	64
ADPRM	0.6313	2.24e-08	5.76e-08	0.5934	2.371e-07	5.71e-07	36.08	0.05	21.52	0.33	64
ADRM1	0.5397	4.191e-06	7.84e-06	0.4978	2.842e-05	5.15e-05	69.2	-0.03	22.23	0.15	64
ADSL	0.1533	0.2266	0.248	0.1915	0.1296	0.148	9.45	-0.08	3.16	0.23	64
AEBP1	0.6367	1.558e-08	4.08e-08	0.6582	3.412e-09	1.05e-08	99.8	-0.25	98.49	0.5	64
AEBP2	0.0675	0.596	0.62	0.0575	0.652	0.675	25.66	-0.16	9.57	0.31	64
AEN	0.5368	0.0002477	0.000373	0.5234	0.0003757	0.000589	32.76	-0.05	13.54	0.45	42
AFAP1L1	0.8272	3.163e-08	7.97e-08	0.7279	7.638e-06	1.5e-05	6.78	-0.29	11.97	1.34	29
AFAP1L2	0.5062	1.98e-05	3.39e-05	0.5357	5.08e-06	1.02e-05	3.05	-1.25	2.62	0.98	64
AFDN	0.876	2.684e-21	1.17e-19	0.9256	7.544e-28	6.33e-26	26.35	0.05	24.61	0.73	64
AFF1	0.6616	2.655e-09	7.72e-09	0.7318	6.465e-12	2.87e-11	59.96	0.06	24.29	0.37	64
AFF2	0.7873	1.21e-14	8.93e-14	0.8401	4.07e-18	4.21e-17	14.37	-0.25	18.17	1.21	64
AFF3	0.7266	1.076e-11	4.62e-11	0.8805	9.022e-22	1.8e-20	23.36	0.04	22.93	0.69	64
AFF4	0.3532	0.004204	0.00551	0.4599	0.0001315	0.000219	42.55	0.2	14.37	0.28	64
