pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
APOPTOSIS	0.00498	0.0215	0.427	1.47	0	66	PRKAR2B|BCL2L1|PPP3CA|IL1RAP|PPP3CC|NFKB1|CASP10|TNFRSF10B|ENDOD1|AKT3|PRKACB|PIK3R5|FAS|CASP6|PIK3CD|PRKAR2A|IRAK3|BCL2|APAF1|PIK3CG|CASP7|TNFRSF1A|PRKACA|CAPN2|RIPK1|CASP9|BID|PRKAR1B|NFKBIA|CHUK|CASP3|DFFB|BAX|PRKX|TNFRSF10A|FADD|CASP8|MYD88|IRAK1
VASCULAR_SMOOTH_MUSCLE_CONTRACTION	0.00498	0.0215	0.466	1.58	0	55	PRKCB|PRKCA|PLCB1|MYLK|ARHGEF11|GNAQ|PRKCE|ARHGEF12|GUCY1A1|ADCY6|PRKCH|ADCY7|PRKACB|ITPR2|GUCY1B1|PRKCQ|PRKCD|ADCY9|ITPR1|MAP2K1|GNA11
WNT_SIGNALING_PATHWAY	0.00498	0.0215	0.418	1.46	0	88	PRKCB|PRKCA|PLCB1|CAMK2D|PPP3CA|PPP3CC|LEF1|SMAD3|FZD6|VANGL1|NFATC4|DAAM1|NFATC1|NKD2|PRKACB|CTBP2|NFATC3|TCF7L2|RAC2|LRP6|PPP2R5B|TBL1X|CTNNBIP1|GSK3B|PLCB2|VANGL2|PPP2R5A|TCF7|PRKACA|RAC3|ROCK2|TBL1XR1|SMAD2|PPP2CB|PPP2R1B|CACYBP|PPP2R5C|PLCB3|FZD2|NFATC2|MAPK9|PRKX|CREBBP|CAMK2G|NLK|PPP2R5D|PORCN
AXON_GUIDANCE	0.00498	0.0215	0.495	1.7	0	68	SRGAP3|PPP3CA|PPP3CC|ARHGEF12|SEMA4D|SRGAP2|PLXNA1|NFATC4|ABLIM1|NFATC1|PLXNB2|PTK2|CXCR4|EPHB4|EFNB2|EFNB1|NFATC3|SEMA4A|RAC2|FYN|FES|GNAI1|DPYSL2|SEMA4C|EPHB3|GSK3B|ITGB1|PLXNB1|CDK5|RASA1|NCK1|RAC3|ROCK2|PLXNC1|NCK2|PAK1|EPHB6|LIMK1|MAPK3|NFATC2
VEGF_SIGNALING_PATHWAY	0.00498	0.0215	0.54	1.82	0	51	PRKCB|PRKCA|PXN|MAPKAPK3|MAPK12|SH2D2A|SRC|PPP3CA|PPP3CC|PLCG2|PLCG1|MAPKAPK2|NFATC4|AKT3|MAPK13|NFATC1|PTK2|NFATC3|PIK3R5|RAC2|MAP2K1|PIK3CD|MAPK11
FOCAL_ADHESION	0.00498	0.0215	0.406	1.44	0	102	PRKCB|PRKCA|VAV2|PXN|MYLK|SRC|FLNB|VCL|TLN2|VASP|ACTN1|ITGA6|VAV3|AKT3|VAV1|FLT1|PTK2|ITGA5|PDGFRB|LAMC1|ZYX|PIK3R5|ITGA2|RAC2|MAP2K1|FYN|DIAPH1|PIK3CD|ACTN4|BCL2|PIK3CG|GSK3B|ITGB1|FLNA|ITGB7|CAPN2|CRK|ITGA4|RAC3|PARVG|COL5A1|ROCK2|IGF1R|PAK1|TLN1|ARHGAP5|MAPK3|ITGAV|RAPGEF1|MAPK9|ACTB|SHC1
CELL_ADHESION_MOLECULES_CAMS	0.00498	0.0215	0.497	1.68	0	54	PTPRC|ICAM3|NEO1|PECAM1|NECTIN1|CD22|ALCAM|PTPRF|CD58|ITGAL|ITGA6|NECTIN2|JAM2|CD6|HLA-F|SELL|NECTIN3|HLA-DMA|ITGB2|ESAM|HLA-B|ITGB1|ICAM1|HLA-DOA|HLA-DPA1|ITGB7|SPN|SDC1|F11R|ITGA4|HLA-DPB1|NLGN4X|JAM3|ITGAV|GLG1|CD28|CDH2|HLA-A|MPZL1|ICAM2|CD40
ADHERENS_JUNCTION	0.00498	0.0215	0.494	1.68	0	56	SRC|AFDN|NECTIN1|PTPRF|VCL|LEF1|SMAD3|SORBS1|PTPRJ|ACTN1|INSR|PTPN6|NECTIN2|FGFR1|TCF7L2|RAC2|FYN|YES1|IQGAP1|ACTN4|NECTIN3|LMO7|TGFBR2|CTNND1|FER|BAIAP2|TCF7|TGFBR1|SSX2IP|RAC3|IGF1R|SMAD2|PTPN1|FARP2|MAPK3
TIGHT_JUNCTION	0.00498	0.0215	0.447	1.54	0	74	PRKCB|PRKCA|RRAS2|SRC|AFDN|EPB41L2|PRKCE|PRKCH|ACTN1|MAP3K20|AKT3|PRKCQ|PRKCD|HCLS1|CGN|JAM2|YES1|MYH10|GNAI1|ACTN4|MAGI3|CTTN|VAPA|RRAS|PARD6G|F11R|YBX3|LLGL2|TJP2|JAM3|PPP2CB|PPP2R1B|AMOTL1|CASK|MAGI1|PARD6B|PRKCZ|PARD3|ACTB|PTEN|MYH9|SPTAN1|EPB41L1|CDK4
GAP_JUNCTION	0.00498	0.0215	0.415	1.4	0	53	PRKCB|PRKCA|PLCB1|SRC|GNAQ|GUCY1A1|ADCY6|TUBB4A|ADCY7|TUBA4A|PRKACB|ITPR2|GUCY1B1|PDGFRB|ADCY9|ITPR1|MAP2K1|GNA11|GNAI1|PLCB2|PRKACA|ADCY3|MAPK7|TUBB2A|PLCB3|MAPK3|CDK1
NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.00498	0.0215	0.462	1.59	0	71	PRKCB|PRKCA|VAV2|PPP3CA|PPP3CC|LCP2|PLCG2|PLCG1|PTK2B|ITGAL|LCK|VAV3|TNFRSF10B|PTPN6|SYK|NFATC4|VAV1|NFATC1|NFATC3|PIK3R5|RAC2|MAP2K1|FYN|ZAP70|FAS|PIK3CD|ULBP2|SH3BP2|ITGB2|PIK3CG|HLA-B|ICAM1|CD48|RAC3|IFNGR1|LAT|PAK1|BID|MAPK3|NFATC2|SH2D1A|CASP3|SHC1|CD247|TNFRSF10A|HLA-A|ARAF|ICAM2
T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.00498	0.0215	0.413	1.44	0	84	PTPRC|VAV2|CARD11|MAPK12|PPP3CA|PPP3CC|RASGRP1|LCP2|NFKB1|PLCG1|LCK|VAV3|PTPN6|NFATC4|AKT3|VAV1|MAPK13|NFATC1|PRKCQ|NFATC3|PIK3R5|MAP2K1|FYN|ZAP70|TEC|PIK3CD|MAPK11|MALT1|PIK3CG|GSK3B|NCK1|NCK2|LAT|PAK1|CD3D|CBLB|MAPK3|NFATC2|NFKBIA|CHUK|CD28|CD3G|MAPK9|CD3E|CD247|GRAP2
B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.00498	0.0215	0.522	1.79	0	65	PRKCB|VAV2|CARD11|CD22|PPP3CA|PPP3CC|DAPP1|CD79A|PLCG2|NFKB1|INPP5D|VAV3|CD19|BLNK|PTPN6|BTK|SYK|NFATC4|AKT3|VAV1|NFATC1|CD72|LYN|NFATC3|PIK3R5|RAC2|MAP2K1|CD79B|PIK3CD|MALT1|PIK3CG|GSK3B
FC_EPSILON_RI_SIGNALING_PATHWAY	0.00498	0.0215	0.515	1.73	0	53	PRKCB|PRKCA|VAV2|MAPK12|GAB2|LCP2|PRKCE|PLCG2|PLCG1|INPP5D|VAV3|BTK|MAP2K6|SYK|AKT3|VAV1|MAPK13|LYN|PRKCD|PIK3R5|RAC2|MAP2K1|FYN|PIK3CD|MAPK11
FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	0.00498	0.0215	0.424	1.47	0	75	PRKCB|PRKCA|PTPRC|VAV2|GAB2|ASAP2|PRKCE|PLCG2|PLCG1|VASP|INPP5D|VAV3|SYK|AKT3|VAV1|LYN|PRKCD|PIK3R5|RAC2|MAP2K1|PIK3CD|PLPP1|MARCKSL1|DOCK2|GSN|PIK3CG|MYO10|DNM1|PIKFYVE|CRK|NCF1|DNM2|LAT|PAK1|ASAP1|LIMK1|MAPK3|PIP4K2B
LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.00498	0.0215	0.534	1.83	0	69	PRKCB|PRKCA|VAV2|PXN|MAPK12|RHOH|AFDN|PECAM1|VCL|PLCG2|PLCG1|VASP|PTK2B|ITGAL|ACTN1|VAV3|RASSF5|EZR|SIPA1|VAV1|MAPK13|PTK2|CXCR4|NCF4|MSN|JAM2|PIK3R5|RAC2|PIK3CD|GNAI1|ACTN4|MAPK11|ITGB2|CTNND1|ESAM|PIK3CG|ITGB1|ICAM1
REGULATION_OF_ACTIN_CYTOSKELETON	0.00498	0.0215	0.41	1.48	0	127	RRAS2|VAV2|PXN|PIP4K2A|PIP4K2C|MYLK|VCL|ENAH|ARHGEF12|TIAM1|ITGAL|ACTN1|ITGA6|VAV3|EZR|IQGAP2|VAV1|PTK2|MSN|ITGA5|PDGFRB|FGFR1|PIK3R5|ITGA2|RAC2|MAP2K1|MYH10|IQGAP1|DIAPH1|PIK3CD|ACTN4|ITGB2|GSN|PIK3CG|ARHGEF6|BAIAP2|ITGB1|RDX|SSH1|RRAS|CSK|PFN2|ITGB7|GNA12|PIKFYVE|CRK|GNG12|ARHGEF7|ITGA4|RAC3|ROCK2|TMSB4X|IQGAP3|PAK1|NCKAP1L|LIMK1|MAPK3|ITGAV|PIP4K2B|NCKAP1|PFN1|LIMK2|ACTB|FGD3|DIAPH2|DIAPH3|MYH9
MELANOGENESIS	0.00498	0.0215	0.476	1.57	0	46	PRKCB|PRKCA|PLCB1|CAMK2D|GNAQ|LEF1|FZD6|ADCY6|ADCY7|PRKACB|ADCY9|TCF7L2|MAP2K1|GNAI1|GSK3B|PLCB2|TCF7|PRKACA|ADCY3|PLCB3|FZD2|MAPK3|PRKX|CREBBP|CREB3L2|CAMK2G
AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.00498	0.0215	0.478	1.53	0	37	MAPK12|BCL2L1|PPP3CA|CASP1|PPP3CC|MAP2K6|MAPK13|MAPK11|BCL2|ALS2|APAF1|CAT|RAB5A|MAP2K3|TNFRSF1A|TNFRSF1B|CASP9|BID|MAP3K5|CASP3|BAX|GPX1|CCS|DAXX
PATHWAYS_IN_CANCER	0.00498	0.0215	0.351	1.29	0	179	PRKCB|PRKCA|BCL2L1|STAT3|FOXO1|PLCG2|LEF1|NFKB1|SMAD3|FZD6|PLCG1|TRAF5|ITGA6|ETS1|RASSF5|STAT5A|STAT5B|AKT3|GLI3|PTK2|CTBP2|PDGFRB|MDM2|LAMC1|RALB|FGFR1|PIK3R5|TCF7L2|ITGA2|BCR|RAC2|MAP2K1|FAS|PIK3CD|STK4|BCL2|PML|TGFBR2|CDK6|PIK3CG|GSK3B|SPI1|CDKN1A|ITGB1|RUNX1|TCF7|RXRA|TGFBR1|MLH1|CRK|NFKB2|RAC3|EGLN1|CDK2|IGF1R|APPL1|CASP9|SMAD2|SKP2|MAX|TRAF3|BID|HDAC1|FZD2|CBLB|MAPK3|ITGAV|JUP|CCNE2|NFKBIA|CCDC6|CHUK|FLT3|CASP3|MAPK9|BAX|MSH2|E2F2|PTEN|FADD|RARA|PTCH1|HSP90AB1|CASP8|CREBBP|JAK1|RB1|HSP90B1|FH|ARAF|HDAC2|STAT1|CDK4|GSTP1|RAD51|RASSF1|GRB2|E2F1|BIRC2|BRAF|PLD1|SOS2|MYC|CTNNA1|CCNE1|MSH6|PIK3R1|PPARD|CDKN1B|DAPK1|MAPK8|SLC2A1|BRCA2|CDKN2A|CRKL|TGFB1|TRAF4|ARNT|MAPK1|SOS1|CBL|IKBKB|MAP2K2|RALBP1
PRIMARY_IMMUNODEFICIENCY	0.00498	0.0215	0.633	1.98	0	28	PTPRC|IL7R|RAG2|CD79A|TAP1|LCK|CD19|BLNK|BTK|CIITA|RAG1|DCLRE1C|ADA|TNFRSF13C|IGLL1|ZAP70|IL2RG
ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.00498	0.0215	0.51	1.59	0	27	SLC8A1|LEF1|ACTN1|ITGA6|ITGA5|TCF7L2|ITGA2|ACTN4|ITGB1|TCF7|ITGB7|ITGA4|DSG2|ITGAV|JUP|ACTB|CDH2|EMD
DILATED_CARDIOMYOPATHY	0.00498	0.0215	0.495	1.56	0	30	SLC8A1|ADCY6|ADCY7|ITGA6|PRKACB|ITGA5|ADCY9|ITGA2|TPM1|TPM4|ITGB1|ITGB7|PRKACA|ADCY3|ITGA4|ITGAV|ACTB|PRKX|EMD
ECM_RECEPTOR_INTERACTION	0.005	0.0215	0.632	1.93	0	23	CD44|SV2A|ITGA6|ITGA5|LAMC1|ITGA2|ITGB1|CD47|HMMR|ITGB7|SDC1|AGRN|ITGA4|HSPG2|COL5A1|ITGAV
ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.00503	0.0215	0.534	1.61	0	21	PRKCB|PRKCA|SLC9A3R2|IRS2|NEDD4L|INSR|PIK3R5|PIK3CD|IRS1|PIK3CG|ATP1B1
PENTOSE_PHOSPHATE_PATHWAY	0.0051	0.0215	0.507	1.51	0	20	GPI|PFKM|H6PD|ALDOC|RBKS|PFKL|PRPS2|RPIA|PGM1|FBP1|PGD|PFKP|PGM2|G6PD|TKT
ARACHIDONIC_ACID_METABOLISM	0.00513	0.0215	0.54	1.57	0	16	CBR3|CYP2U1|CBR1|AKR1C3|GPX7|GGT7|ALOX5|EPHX2|LTA4H|TBXAS1|GPX1|PTGS1
NICOTINATE_AND_NICOTINAMIDE_METABOLISM	0.00518	0.0215	0.522	1.53	0	17	CD38|NMRK1|NAMPT|BST1|PNP|NMNAT3|NUDT12|NT5C2|NT5E|NT5C|QPRT
BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	0.00518	0.0215	0.585	1.71	0	17	SCD|PECR|YOD1|HSD17B12|FADS1|FADS2|ELOVL2|ACOT2|SCD5|ELOVL5|HACD2
INSULIN_SIGNALING_PATHWAY	0.00995	0.0393	0.372	1.32	1	101	PRKAR2B|FOXO1|PTPRF|HK1|IRS2|INPP5D|SORBS1|TRIP10|INSR|AKT3|PRKACB|PDE3B|PIK3R5|MAP2K1|PPP1R3D|PIK3CD|SOCS2|PRKAR2A|IRS1|ACACB|INPP5K|PIK3CG|GSK3B|HK2|RHEB|LIPE|PRKACA|PRKAG2|CRK|PYGL|SH2B2|FBP1|PTPN1|EIF4EBP1|PRKAG1|PRKAR1B|CBLB|MAPK3|PCK2|RAPGEF1|MAPK9|PRKCZ|SHC1|MKNK1|PRKX|ACACA|ARAF|FLOT2|GRB2|PRKCI|PHKA1|BRAF|SOS2|TSC1|PRKAB1|MKNK2|PIK3R1|ELK1|SREBF1|MAPK8|PYGB|CRKL|PDPK1|MAPK1|RPS6KB2|SOS1|CBL|IKBKB|MAP2K2|GYS1
GNRH_SIGNALING_PATHWAY	0.00995	0.0393	0.408	1.39	1	61	PRKCB|PRKCA|PLCB1|CAMK2D|MAPK12|SRC|GNAQ|PTK2B|MAP3K1|ADCY6|ADCY7|MAP2K6|MAPK13|PRKACB|ITPR2|PRKCD|ADCY9|ITPR1|MAP2K1|GNA11|MAPK11|PLCB2|MAP2K3|PRKACA|MAP3K3|ADCY3|MAPK7|PLCB3|MAPK3|MAPK9|PRKX|CAMK2G|MAP2K4|MAP3K2|GRB2|PLD2|PLD1|SOS2
OLFACTORY_TRANSDUCTION	0.0105	0.0404	0.63	1.71	1	12	CAMK2D|GRK3|PRKACB|ARRB2|PRKACA|ADCY3|PRKX|CAMK2G
HEMATOPOIETIC_CELL_LINEAGE	0.0149	0.055	0.456	1.44	2	34	IL7R|CD22|DNTT|CD44|MME|CD9|ITGA6|CD19|CD38|ITGA5|CD37|ITGA2|CD5|TFRC|CD55|ITGA4|CD1C|CD3D|FLT3|CD3G|CD3E
LONG_TERM_DEPRESSION	0.0149	0.055	0.443	1.42	2	37	PRKCB|PRKCA|PLCB1|GNAQ|GUCY1A1|GNAZ|ITPR2|GUCY1B1|LYN|ITPR1|MAP2K1|GNA11|GNAI1|PLCB2|GNA12|IGF1R|PPP2CB|PPP2R1B|PLCB3|MAPK3
BASAL_CELL_CARCINOMA	0.0154	0.0553	0.516	1.5	2	16	LEF1|FZD6|GLI3|TCF7L2|GSK3B|TCF7|FZD2|PTCH1
STEROID_BIOSYNTHESIS	0.0157	0.0553	0.591	1.63	2	13	DHCR7|FDFT1|CYP51A1|LSS|DHCR24|EBP|SQLE|HSD17B7|NSDHL|MSMO1
ADIPOCYTOKINE_SIGNALING_PATHWAY	0.0199	0.0686	0.421	1.38	3	44	CPT1A|STAT3|NFKB1|IRS2|ACSL1|ACSL5|AKT3|PRKCQ|IRS1|ACACB|ACSL3|JAK2|TNFRSF1A|RXRA|CAMKK1|PRKAG2|TNFRSF1B|PRKAG1|CAMKK2|PCK2|NFKBIA|CHUK|MAPK9
OOCYTE_MEIOSIS	0.0348	0.115	0.372	1.3	6	84	CAMK2D|MAPK12|PPP3CA|PPP3CC|ADCY6|ADCY7|PRKACB|ITPR2|RPS6KA3|ADCY9|ITPR1|MAP2K1|SLK|PPP2R5B|PPP2R5A|BUB1|RPS6KA1|CCNB1|PRKACA|PTTG1|ADCY3|CCNB2|CDK2|IGF1R|SGO1|MAD2L2|CDC20|PPP2CB|PPP2R1B|PPP2R5C|MAPK3|CDK1|CCNE2|YWHAZ|MAD2L1|PRKX|REC8|FBXO5|CAMK2G
VIBRIO_CHOLERAE_INFECTION	0.0348	0.115	0.419	1.32	6	33	PRKCB|PRKCA|PLCG2|PLCG1|ERO1A|PRKACB|ADCY9|PDIA4|PRKACA|ADCY3|SLC12A2|TJP2|ATP6V1B2|TCIRG1|ACTB|PRKX
ERBB_SIGNALING_PATHWAY	0.0398	0.126	0.386	1.32	7	60	PRKCB|PRKCA|CAMK2D|GAB1|SRC|PLCG2|PLCG1|STAT5A|STAT5B|AKT3|PTK2|PIK3R5|MAP2K1|PIK3CD|PIK3CG|GSK3B|CDKN1A|NCK1|CRK|NCK2|PAK1|EIF4EBP1|CBLB|MAPK3|MAPK9|SHC1|CAMK2G|ARAF|MAP2K4|GRB2|BRAF|SOS2|MYC|PIK3R1|ELK1|PAK2|CDKN1B|MAPK8|CRKL|MAPK1|RPS6KB2|SOS1|CBL|MAP2K2
LONG_TERM_POTENTIATION	0.0398	0.126	0.415	1.37	7	45	PRKCB|PRKCA|PLCB1|CAMK2D|GNAQ|PPP3CA|PPP3CC|CAMK4|PRKACB|ITPR2|RPS6KA3|ITPR1|MAP2K1|PLCB2|RPS6KA1|PRKACA|PLCB3|MAPK3|PRKX|CREBBP|CAMK2G|ARAF|RAP1A|RAP1B|BRAF
NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	0.0419	0.13	0.558	1.51	7	12	NR3C1|CNR2|THRA|TSPO|PTGER4|P2RX7|P2RX4|PARD3|GZMA
TYPE_II_DIABETES_MELLITUS	0.045	0.138	0.463	1.41	8	22	HK1|PRKCE|IRS2|INSR|PRKCD|PIK3R5|PIK3CD|SOCS2|IRS1|PIK3CG|HK2|MAPK3|MAPK9|PRKCZ
VIRAL_MYOCARDITIS	0.0498	0.149	0.406	1.33	9	41	ITGAL|RAC2|FYN|HLA-F|MYH10|HLA-DMA|ITGB2|CD55|HLA-B|ICAM1|HLA-DOA|HLA-DPA1|RAC3|HLA-DPB1|CASP9|BID|EIF4G3|CD28|CASP3|ACTB|MYH9|HLA-A|CASP8|CD40|EIF4G1
STARCH_AND_SUCROSE_METABOLISM	0.0518	0.151	0.48	1.41	9	17	PGM2L1|HK1|GPI|UGP2|GBE1|UXS1|HK2|AGL|PGM1|PYGL|GANC|UGDH|PGM2
O_GLYCAN_BIOSYNTHESIS	0.0524	0.151	0.534	1.45	9	12	GALNT12|GALNT14|GALNT6|GCNT1|GALNT2|GALNT7|ST3GAL1|GALNT1
GLIOMA	0.0547	0.156	0.392	1.29	10	46	PRKCB|PRKCA|CAMK2D|PLCG2|PLCG1|AKT3|PDGFRB|MDM2|PIK3R5|MAP2K1|PIK3CD|CDK6|PIK3CG|CDKN1A|IGF1R|MAPK3|SHC1|E2F2|PTEN|RB1|CAMK2G|ARAF|CDK4|GRB2|E2F1|BRAF|SOS2|PIK3R1|CDKN2A|MAPK1|SOS1|MAP2K2
NEUROTROPHIN_SIGNALING_PATHWAY	0.0597	0.167	0.343	1.21	11	97	CAMK2D|GAB1|MAPK12|PLCG2|FOXO3|NFKB1|IRS2|PLCG1|MAP3K1|MAPKAPK2|ZNF274|CAMK4|AKT3|MAPK13|RPS6KA3|PRKCD|PIK3R5|RPS6KA5|MAP2K1|MAGED1|PIK3CD|IRAK3|IRS1|MAPK11|BCL2|RIPK2|PIK3CG|GSK3B|CSK|RPS6KA1|MAP3K3|CRK|RPS6KA4|SH2B2|MAPK7|SORT1|MAP3K5|MAPK3|YWHAZ|NFKBIA|RAPGEF1|MAPK9|BAX|ARHGDIB|SHC1
AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.0647	0.178	0.401	1.29	12	39	HK1|GNPDA1|NPL|GPI|NANP|RENBP|UGP2|GNPNAT1|UAP1|GALK2|UXS1|NAGK|HK2|PGM1|GALE|GNE|GNPDA2|PMM1|HEXB|PGM3|GMDS|UGDH|PGM2|CYB5R3|TSTA3|AMDHD2|HEXA|CYB5R1|GFPT1|GMPPB
GLYCINE_SERINE_AND_THREONINE_METABOLISM	0.0872	0.235	0.496	1.41	16	14	CTH|GCAT|PSAT1|SHMT1|SRR|PSPH|GLDC|PHGDH|GAMT|SHMT2|GATM
